"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,         252,      -2.777490302,      -5.606706541,      -6.136472609,      -8.123040942,      -4.337119446
          0,           0,         253,      -2.780611903,      -5.609819189,      -6.140711475,      -8.125916822,      -4.339106881
          0,           0,         254,       -2.78448464,      -5.613372784,      -6.145052134,       -8.12953572,      -4.341125745
          0,           0,         255,      -2.789065822,      -5.617353778,      -6.149485662,      -8.133865837,      -4.343175956
          0,           0,         256,      -2.794311324,      -5.621746013,      -6.154008388,      -8.138873274,      -4.345256987
          0,           0,         257,      -2.800175786,      -5.626530859,       -6.15862208,      -8.144522197,      -4.347367894
          0,           0,         258,      -2.806612928,      -5.631687427,      -6.163334039,      -8.150775091,      -4.349507335
          0,           0,         259,      -2.813575971,      -5.637192873,      -6.168157095,      -8.157593131,      -4.351673607
          0,           0,         260,      -2.821018175,      -5.643022764,      -6.173109478,      -8.164936648,       -4.35386469
          0,           0,         261,      -2.828893474,      -5.649151518,      -6.178214554,      -8.172765704,      -4.356078285
          0,           0,         262,      -2.837157215,      -5.655552901,      -6.183500423,      -8.181040765,      -4.358311872
          0,           0,         263,      -2.845766959,      -5.662200556,      -6.188999381,      -8.189723456,      -4.360562753
          0,           0,         264,      -2.854683342,      -5.669068564,      -6.194747252,      -8.198777381,      -4.362828114
          0,           0,         265,      -2.863870956,      -5.676131999,      -6.200782608,      -8.208168985,      -4.365105073
          0,           0,         266,      -2.873299208,      -5.683367465,      -6.207145882,      -8.217868433,      -4.367390735
          0,           0,         267,      -2.882943145,       -5.69075358,      -6.213878415,       -8.22785046,      -4.369682247
          0,           0,         268,      -2.892784179,      -5.698271401,      -6.221021427,      -8.238095175,      -4.371976843
          0,           0,         269,      -2.902810711,      -5.705904747,      -6.228614943,      -8.248588769,      -4.374271895
          0,           0,         270,      -2.913018606,      -5.713640415,      -6.236696676,      -8.259324112,      -4.376564953
          0,           0,         271,      -2.923411514,      -5.721468273,      -6.245300862,      -8.270301205,      -4.378853786
          0,           0,         272,      -2.934001027,      -5.729381216,      -6.254457045,       -8.28152748,      -4.381136418
          0,           0,         273,      -2.944806684,      -5.737374991,      -6.264188792,      -8.293017937,       -4.38341115
          0,           0,         274,      -2.955855811,      -5.745447883,      -6.274512325,       -8.30479512,      -4.385676593
          0,           0,         275,      -2.967183252,      -5.753600282,      -6.285435028,      -8.316888958,      -4.387931678
          0,           0,         276,      -2.978830979,       -5.76183413,      -6.296953826,      -8.329336461,      -4.390175671
