"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
1507, 8.964005112648010e-02, -3.636518120765690e-02, 4.311029775838342e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.842752227227206e+04, 0.000000000000000e+00, 3.937100890890882e+04, 3.181455601338414e+02, 0.000000000000000e+00, 3.754873457560457e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.930542040728584e-05, 3.855490107381583e-03, -7.006217777748276e-04, -6.821388727010420e+02, 2.961190481302463e+00, 0.000000000000000e+00
1533, 8.247101306915280e-02, -3.502155095338820e-02, 4.352455293294032e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.939277986131127e+04, 0.000000000000000e+00, 3.975711194452450e+04, 3.182078249432352e+02, 0.000000000000000e+00, 6.204482057932501e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.930828276502721e-05, 3.836406901922691e-03, -7.375358775239685e-04, -6.753609310406880e+02, 2.966635943167612e+00, 0.000000000000000e+00
1559, 7.564741373062130e-02, -3.367514535784720e-02, 4.397605514676259e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.004450400045324e+05, 0.000000000000000e+00, 4.017801600181295e+04, 3.182750273474326e+02, 0.000000000000000e+00, 8.874883747525963e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.931137179654715e-05, 3.802822494283393e-03, -7.718163016564144e-04, -6.621830483318565e+02, 2.968368502204202e+00, 0.000000000000000e+00
1585, 6.917616724967959e-02, -3.232324495911600e-02, 4.439774061625936e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.014290056572691e+05, 0.000000000000000e+00, 4.057160226290764e+04, 3.183403101068110e+02, 0.000000000000000e+00, 1.137196924344401e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.931437228044625e-05, 3.769559745377345e-03, -8.031481853634550e-04, -6.494041203707274e+02, 2.967870020991902e+00, 0.000000000000000e+00
1611, 6.298619508743290e-02, -3.097752667963500e-02, 4.474103346585555e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.022285547918721e+05, 0.000000000000000e+00, 4.089142191674885e+04, 3.183878939821553e+02, 0.000000000000000e+00, 1.340104672367718e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.931655910783349e-05, 3.761480279237993e-03, -8.405421510581842e-04, -6.480538015997095e+02, 2.975140574333899e+00, 0.000000000000000e+00
1637, 5.711802840232850e-02, -2.962872758507730e-02, 4.514463359885027e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.031678627439923e+05, 0.000000000000000e+00, 4.126714509759691e+04, 3.184407497173297e+02, 0.000000000000000e+00, 1.578480092984891e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.931898802615064e-05, 3.755289808546445e-03, -8.946919019052986e-04, -6.516838044378741e+02, 2.985044188360895e+00, 0.000000000000000e+00
1663, 5.161416530609130e-02, -2.826815843582150e-02, 4.561181276343574e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.042567891142033e+05, 0.000000000000000e+00, 4.170271564568130e+04, 3.185058029010653e+02, 0.000000000000000e+00, 1.854825333046241e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.932197718884611e-05, 3.733229504078635e-03, -9.514238199476428e-04, -6.478060592153787e+02, 2.991281775176816e+00, 0.000000000000000e+00
1689, 4.642483592033390e-02, -2.690353803336620e-02, 4.615435611196401e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.055221901398387e+05, 0.000000000000000e+00, 4.220887605593545e+04, 3.185821483155745e+02, 0.000000000000000e+00, 2.175955906948430e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.932548483874644e-05, 3.691953057944497e-03, -1.005940434982981e-03, -6.331440049244439e+02, 2.991682934714358e+00, 0.000000000000000e+00
1715, 4.156750440597530e-02, -2.553076110780240e-02, 4.676557810859292e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.069489524496924e+05, 0.000000000000000e+00, 4.277958097987693e+04, 3.186695479646325e+02, 0.000000000000000e+00, 2.538036377963761e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.932949985885525e-05, 3.628150919784986e-03, -1.054987011734104e-03, -6.065653374005545e+02, 2.984610199662793e+00, 0.000000000000000e+00
1741, 3.698146343231200e-02, -2.415761165320870e-02, 4.733373715599667e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.082812125798445e+05, 0.000000000000000e+00, 4.331248503193781e+04, 3.187664841262811e+02, 0.000000000000000e+00, 2.876134302270376e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.933395233574393e-05, 3.557482682960665e-03, -1.096918853788912e-03, -5.788832485364453e+02, 2.971340098415333e+00, 0.000000000000000e+00
