"EVALUATION"    , "BUFFET"        , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "RMS_ENERGY"    , "RMS_NU_TILDE"  , "RefForce"      
47              , 0.003171634473  , 0.009048632921  , 68.75414228     , -0.008487423698 , 0.6221389047    , 0.0             , 0.6221309953    , 0.0             , 0.0             , 0.07372740368   , 0.0             , 0.0             , 0.0             , 8594.0          , -12.00000156    , -10.17839857    , -10.37066946    , -7.13979956     , -14.17716199    , 15761.82561     
48              , 0.003134083511  , 0.009035249724  , 68.85596527     , -0.00904866036  , 0.6221306462    , 0.0             , 0.6221308412    , 0.0             , 0.0             , 0.06935259984   , 0.0             , 0.0             , 0.0             , 7787.0          , -12.00036822    , -10.18082973    , -10.41633064    , -7.166762823    , -14.16185519    , 15761.82561     
49              , 0.003172787794  , 0.009029023878  , 68.90346938     , -0.008074550964 , 0.6221441904    , 0.0             , 0.6221310704    , 0.0             , 0.0             , 0.07607873409   , 0.0             , 0.0             , 0.0             , 8266.0          , -12.00037343    , -10.19840469    , -10.44538029    , -7.253055291    , -14.10176937    , 15761.82561     
50              , 0.003201684774  , 0.00901630843   , 69.00058251     , -0.006673008148 , 0.6221600805    , 0.0             , 0.6221305338    , 0.0             , 0.0             , 0.08451515533   , 0.0             , 0.0             , 0.0             , 9201.0          , -12.0002099     , -10.20444549    , -10.46064161    , -7.354353469    , -14.11870137    , 15761.82561     
51              , 0.001913041769  , 0.008968456507  , 69.36873793     , -0.004948429596 , 0.6221754709    , 0.0             , 0.6221305091    , 0.0             , 0.0             , 0.09337054641   , 0.0             , 0.0             , 0.0             , 9275.0          , -12.0002055     , -10.22150646    , -10.52976078    , -7.506713752    , -14.0593913     , 15761.82561     
52              , 0.001869648964  , 0.00882828275   , 70.47018259     , -0.002914448446 , 0.6221865067    , 0.0             , 0.6221306973    , 0.0             , 0.0             , 0.1003084127    , 0.0             , 0.0             , 0.0             , 9156.0          , -12.00052052    , -10.22693627    , -10.57399877    , -7.522450899    , -14.11043162    , 15761.82561     
53              , 0.0006764948657 , 0.008439059922  , 73.72036935     , -0.0003803885745, 0.6221877324    , 0.0             , 0.6221306144    , 0.0             , 0.0             , 0.1080897782    , 0.0             , 0.0             , 0.0             , 9330.0          , -12.00073927    , -10.22176191    , -10.50194788    , -7.321569776    , -14.17274509    , 15761.82561     
54              , 1.951865343     , 0.05488082314   , 11.33602717     , 0.04067018377   , 0.6232208296    , 0.0             , 0.622130502     , 0.0             , 0.0             , 0.1262349891    , 0.0             , 0.0             , 0.0             , 9999.0          , -8.736984122    , -6.875883195    , -6.902949949    , -4.020351026    , -9.829488012    , 15761.82561     
55              , 0.0006303156557 , 0.007823718655  , 79.51855366     , 0.002022160922  , 0.6221766979    , 0.0             , 0.6221307917    , 0.0             , 0.0             , 0.1132392556    , 0.0             , 0.0             , 0.0             , 9999.0          , -11.89903736    , -10.14631577    , -10.67229343    , -7.547343106    , -14.48872018    , 15761.82561     
56              , 0.6132048743    , 0.02226419737   , 27.94311755     , 0.007625233545  , 0.6224826393    , 0.0             , 0.6221310842    , 0.0             , 0.0             , 0.06314498714   , 0.0             , 0.0             , 0.0             , 9999.0          , -8.723722116    , -7.306055152    , -7.782848193    , -4.74288477     , -10.43002253    , 15761.82561     
