"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,         126,      -2.369364518,      -4.826961444,      -5.467302524,      -7.752944115,      -3.261798774
          0,           0,         127,      -2.366413617,      -4.824129261,      -5.461060544,      -7.750850272,      -3.260690803
          0,           0,         128,      -2.363643643,      -4.821509039,      -5.454862337,      -7.748838302,      -3.259449452
          0,           0,         129,       -2.36105248,      -4.819106146,       -5.44875754,      -7.746912593,      -3.258081447
          0,           0,         130,      -2.358633788,      -4.816924626,      -5.442794464,      -7.745072725,      -3.256594931
          0,           0,         131,      -2.356377418,      -4.814967322,      -5.437019769,      -7.743313688,      -3.254999359
          0,           0,         132,      -2.354269902,       -4.81323601,      -5.431478185,      -7.741626235,      -3.253305353
          0,           0,         133,      -2.352295006,      -4.811731526,      -5.426212253,      -7.739997368,      -3.251524542
          0,           0,         134,      -2.350434339,      -4.810453903,      -5.421262121,      -7.738410932,      -3.249669375
          0,           0,         135,      -2.348668011,      -4.809402495,      -5.416665362,      -7.736848324,      -3.247752926
          0,           0,         136,      -2.346975321,      -4.808576102,      -5.412456842,      -7.735289284,      -3.245788691
          0,           0,         137,      -2.345335468,      -4.807973077,      -5.408668602,      -7.733712761,      -3.243790378
          0,           0,         138,       -2.34372827,      -4.807591431,      -5.405329774,      -7.732097824,      -3.241771714
          0,           0,         139,      -2.342134866,      -4.807428922,      -5.402466504,      -7.730424596,      -3.239746256
          0,           0,         140,      -2.340538384,      -4.807483138,      -5.400101873,      -7.728675172,      -3.237727217
          0,           0,         141,      -2.338924554,      -4.807751557,      -5.398255828,      -7.726834494,      -3.235727315
          0,           0,         142,       -2.33728225,      -4.808231611,      -5.396945074,      -7.724891134,      -3.233758645
          0,           0,         143,      -2.335603926,       -4.80892073,      -5.396182966,      -7.722837967,      -3.231832568
          0,           0,         144,      -2.333885947,      -4.809816374,      -5.395979345,      -7.720672685,      -3.229959633
          0,           0,         145,      -2.332128793,      -4.810916065,      -5.396340357,      -7.718398142,      -3.228149513
          0,           0,         146,      -2.330337134,      -4.812217403,      -5.397268213,      -7.716022508,      -3.226410972
          0,           0,         147,      -2.328519766,      -4.813718076,      -5.398760911,      -7.713559229,      -3.224751845
          0,           0,         148,      -2.326689432,      -4.815415863,      -5.400811914,      -7.711026805,      -3.223179044
          0,           0,         149,      -2.324862526,      -4.817308631,      -5.403409787,      -7.708448394,       -3.22169857
          0,           0,         150,      -2.323058696,      -4.819394323,        -5.4065378,      -7.705851284,      -3.220315548
          0,           0,         151,      -2.321300375,      -4.821670943,       -5.41017352,      -7.703266248,      -3.219034261
          0,           0,         152,      -2.319612259,      -4.824136529,      -5.414288403,      -7.700726826,      -3.217858202
          0,           0,         153,      -2.318020747,      -4.826789126,      -5.418847426,       -7.69826858,      -3.216790126
          0,           0,         154,      -2.316553374,      -4.829626746,      -5.423808788,       -7.69592833,        -3.2158321
          0,           0,         155,      -2.315238249,      -4.832647326,      -5.429123736,      -7.693743425,      -3.214985561
          0,           0,         156,      -2.314103517,      -4.835848679,      -5.434736572,      -7.691751056,      -3.214251365
          0,           0,         157,      -2.313176856,      -4.839228433,      -5.440584906,      -7.689987635,      -3.213629841
          0,           0,         158,      -2.312485016,      -4.842783977,      -5.446600229,      -7.688488244,      -3.213120834
          0,           0,         159,      -2.312053413,      -4.846512387,      -5.452708869,      -7.687286163,      -3.212723746
          0,           0,         160,      -2.311905768,      -4.850410363,      -5.458833384,      -7.686412477,       -3.21243757
          0,           0,         161,      -2.312063804,      -4.854474158,      -5.464894429,      -7.685895758,      -3.212260918
          0,           0,         162,      -2.312546994,      -4.858699509,      -5.470813073,      -7.685761806,       -3.21219205
          0,           0,         163,      -2.313372359,      -4.863081576,      -5.476513526,      -7.686033466,      -3.212228885
          0,           0,         164,      -2.314554316,      -4.867614884,      -5.481926136,      -7.686730482,      -3.212369017
          0,           0,         165,       -2.31610457,       -4.87229328,      -5.486990488,      -7.687869411,      -3.212609724
          0,           0,         166,      -2.318032054,      -4.877109903,      -5.491658374,      -7.689463571,      -3.212947972
          0,           0,         167,      -2.320342913,      -4.882057178,       -5.49589637,      -7.691523026,      -3.213380416
          0,           0,         168,      -2.323040537,      -4.887126822,      -5.499687788,       -7.69405461,      -3.213903402
          0,           0,         169,       -2.32612564,      -4.892309894,       -5.50303379,      -7.697061981,      -3.214512965
          0,           0,         170,      -2.329596391,      -4.897596857,      -5.505953543,      -7.700545715,       -3.21520483
          0,           0,         171,      -2.333448601,      -4.902977684,      -5.508483404,      -7.704503439,      -3.215974407
